Id,Label,sex,nationality,occupation,year_of_birth,military_civilian,year_of_selection,total_number_of_missions
358,"Kilrain-Still, Susan L.",female,U.S.,pilot,1961,military,1995,2
359,"Crouch, Roger Keith",male,U.S.,PSP,1940,civilian,1995,2
360,"Linteris, Gregory Thomas",male,U.S.,PSP,1957,civilian,1995,2
361,"Noriega, Carlos I.",male,U.S.,MSP,1959,military,1995,2
362,"Lu, Edward T.",male,U.S.,MSP,1963,civilian,1995,3
363,"Vinogradov, Pavel",male,U.S.S.R/Russia,flight engineer,1953,civilian,1992,3
364,"Curbeam, Robert L., Jr.",male,U.S.,MSP,1962,military,1994,3
365,"Robinson, Stephen K.",male,U.S.,MSP,1955,civilian,1994,4
366,Bjarni Tryggvason,male,Canada,PSP,1945,civilian,1983,1
367,"Bloomfield, Michael J.",male,U.S.,pilot,1959,military,1994,3
368,"Lindsey, Steven W.",male,U.S.,pilot,1960,military,1995,5
369,"Chawla, Kalpana",female,U.S.,MSP,1962,civilian,1994,2
370,"Doi, Takao",male,Japan,MSP,1954,civilian,1985,2
371,"Kadenyuk, Leonid",male,U.S.S.R/Ukraine,pilot,1951,civilian,1976,1
372,"Edwards, Joe F., Jr.",male,U.S.,pilot,1958,military,1995,1
373,"Reilly, James F.",male,U.S.,MSP,1954,civilian,1994,3
374,"Anderson, Michael P.",male,U.S.,MSP,1959,military,1994,2
375,"Sharipov, Salizhan",male,U.S.S.R/Russia,Flight engineer,1964,military,1990,2
376,"Eyharts, Lï¿½ï¿½o",male,France,MSP,1957,military,1990,2
377,"Altman, Scott D.",male,U.S.,pilot,1959,military,1994,4
378,"Hire, Kathryn P.",female,U.S.,MSP,1959,military,1995,2
379,"Williams, Dafydd Rhys",male,Canada,MSP,1954,civilian,1992,2
380,"Buckey, Jay Clark Jr.",male,U.S.,PSP,1956,civilian,1991,1
381,"Pawelczyk, James Anthony",male,U.S.,PSP,1960,civilian,1996,1
382,"Gorie, Dominic L.",male,U.S.,pilot,1957,military,1995,4
383,"Kavandi, Janet L.",female,U.S.,MSP,1957,civilian,1995,3
384,"Padalka, Gennady",male,U.S.S.R/Russia,commander,1958,military,1989,5
385,"Baturin, Yuri",male,U.S.S.R/Russia,MSP,1949,civilian,1997,2
385,"Duque, Pedro",male,Spain,flight engineer,1963,civilian,1992,2
387,"Sturckow, Frederick W.",male,U.S.,pilot,1961,military,1995,4
388,"Bella, Ivan",male,Slovakia,MSP,1964,military,1998,1
389,"Husband, Rick D.",male,U.S.,pilot,1957,military,1995,2
390,"Payette, Julie",female,Canada,MSP,1963,civilian,1992,2
391,"Tokarev, Valeri",male,U.S.S.R/Russia,Flight engineer,1952,military,1989,2
392,"Ashby, Jeffrey S.",male,U.S.,pilot,1954,military,1995,3
393,"Kelly, Scott J.",male,U.S.,pilot,1964,military,1996,4
394,"Thiele, Gerhard",male,Germany,MSP,1953,civilian,1987,1
395,"Zalyotin, Sergei",male,U.S.S.R/Russia,commander,1962,military,1990,2
396,"Williams, Jeffrey N.",male,U.S.,MSP,1958,military,1996,4
397,"Mastracchio, Richard A.",male,U.S.,MSP,1960,civilian,1996,4
398,"Burbank, Daniel C.",male,U.S.,MSP,1961,military,1996,3
399,"Morukov, Boris",male,U.S.S.R/Russia,Flight engineer,1950,civilian,1989,1
400,"Melroy, Pamela A.",female,U.S.,pilot,1961,military,1995,3
401,"Polansky, Mark L.",male,U.S.,pilot,1956,civilian,1996,3
402,"Kelly, James M.",male,U.S.,pilot,1959,military,1996,2
403,"Richards, Paul W.",male,U.S.,MSP,1964,civilian,1996,1
404,"Phillips, John L.",male,U.S.,MSP,1951,civilian,1996,3
405,"Lonchakov, Yuri",male,U.S.S.R/Russia,MSP,1965,military,1997,3
406,"Tito, Dennis Anthony",male,U.S.,Other (space tourist),1940,civilian,2000,1
407,"Hobaugh, Charles O.",male,U.S.,pilot,1961,military,1996,3
408,"Forrester, Patrick G.",male,U.S.,MSP,1957,military,1996,3
409,"Tyurin, Mikhail",male,U.S.S.R/Russia,flight engineer,1960,military,1994,3
410,"Kozeyev, Konstantin",male,U.S.S.R/Russia,flight engineer,1967,civilian,1996,1
411,"Kelly, Mark E.",male,U.S.,pilot,1964,military,1996,4
412,"Tani, Daniel M.",male,U.S.,MSP,1961,civilian,1996,2
413,"Carey, Duane G.",male,U.S.,pilot,1957,military,1996,1
414,"Massimino, Michael J.",male,U.S.,MSP,1962,civilian,1996,2
415,"Frick, Stephen N.",male,U.S.,pilot,1964,military,1996,2
416,"Walheim, Rex J.",male,U.S.,MSP,1962,military,1996,3
417,"Morin, Lee M.",male,U.S.,MSP,1952,military,1996,1
418,"Vittori, Roverto",male,Italy,flight engineer,1964,military,1998,3
419,"Shuttleworth, M. Richard",male,Republic of South Africa,Other (Space tourist),1973,civilian,2001,1
420,"Lockhart, Paul S.",male,U.S.,pilot,1956,military,1996,2
421,"Perrin, Philippe",male,France,MSP,1963,military,1990,1
422,"Whitson, Peggy A.",female,U.S.,MSP,1960,civilian,1996,3
423,"Treshchov, Sergei",male,U.S.S.R/Russia,flight engineer,1958,civilian,1992,1
424,"Magnus, Sandra H.",female,U.S.,MSP,1964,civilian,1996,3
425,"Sellers, Piers J.",male,U.K./U.S.,MSP,1955,civilian,1996,3
426,"Yurchikhin, Fyodor",male,U.S.S.R/Russia,MSP,1959,civilian,1997,5
427,"De Winne, Frank",male,Belgium,commander,1961,military,1998,2
428,"Herrington, John B.",male,U.S.,MSP,1958,military,1996,1
429,"Pettit, Donald R.",male,U.S.,flight engineer,1955,civilian,1996,3
430,"McCool, William C.",male,U.S.,pilot,1961,military,1996,1
431,"Brown, David M.",male,U.S.,MSP,1956,military,1996,1
432,"Clark, Laurel B.",female,U.S.,MSP,1961,military,1996,1
433,"Ramon, Ilan",male,Israel,PSP,1954,military,1996,1
434,"Yang, Liwei",male,China,commander,1965,military,2003,1
435,"Fincke, E. Michael",male,U.S.,flight engineer,1967,military,1996,3
436,"Kuipers, Andre",male,Netherland,flight engineer,1958,civilian,1998,2
437,"Shargin, Yuri",male,U.S.S.R/Russia,flight engineer,1960,military,1996,1
438,"Noguchi, Soichi",male,Japan,MSP,1965,civilian,1996,2
439,"Camarda, Charles J.",male,U.S.,MSP,1952,civilian,1996,1
440,"Olsen, Gregory Hammond",male,U.S.,Space tourist,1945,civilian,2004,1
441,"Fei, Junlong",male,China,commander,1966,military,2005,1
442,Nie Haisheng,male,China,flight engineer,1964,military,2005,2
443,"Pontes, Marcos Cesar",male,Brazil,pilot,1963,military,1998,1
444,"Fossum, Michael E.",male,U.S.,MSP,1957,civilian,1998,3
445,"Nowak, Lisa M.",female,U.S.,MSP,1963,military,1996,1
446,"Wilson, Stephanie D.",female,U.S.,MSP,1966,civilian,1996,3
447,"Ferguson, Christopher J.",male,U.S.,pilot,1961,military,1998,3
448,"Stefanyshyn-Piper, Heidemarie M.",female,U.S.,MSP,1963,military,1996,2
449,"Ansari, Anousheh",female,U.S.,Other (space tourist),1966,civilian,2006,1
450,"Oefelein, William A.",male,U.S.,pilot,1965,military,1998,1
451,"Patrick, Nicholas J. M.",male,U.K./U.S.,MSP,1964,civilian,1998,2
452,Christer Fuglesang,male,Sweden,MSP,1957,civilian,1992,2
453,"Higginbotham, Joan E.",female,U.S.,MSP,1964,civilian,1996,1
454,"Williams, Sunita L.",female,U.S.,MSP,1965,military,1998,1
455,"Kotov, Oleg",male,U.S.S.R/Russia,commander,1965,military,1996,3
456,"Simonyi, Charles (Karoly)",male,U.S.,Other (space tourist),1948,civilian,2006,2
457,"Archambault, Lee J.",male,U.S.,pilot,1960,military,1998,2
458,"Swanson, Steven R.",male,U.S.,MSP,1960,civilian,1998,3
459,"Olivas, John D.",male,U.S.,MSP,1965,civilian,1998,2
460,"Anderson, Clayton C.",male,U.S.,flight engineer,1959,civilian,1998,2
461,"Caldwell, Tracy E.",female,U.S.,MSP,1969,civilian,1998,2
462,"Drew, Alvin Benjamin",male,U.S.,MSP,1962,military,2000,2
463,"Morgan, Barbara R.",female,U.S.,MSP,1951,civilian,1998,1
464,"Shukor, Sheikh Muszaphar",male,Malysia,Other (space tourist),1972,civilian,2006,1
465,"Zamka, George D.",male,U.S.,pilot,1962,military,1998,2
466,"Wheelock, Douglas H.",male,U.S.,MSP,1960,military,1998,2
467,"Nespoli, Paolo A.",male,Italy,MSP,1957,military,1998,3
468,"Poindexter, Alan G.",male,U.S.,pilot,1961,military,1998,2
469,"Melvin, Leland D.",male,U.S.,MSP,1964,civilian,1998,2
470,"Love, Stanley G.",male,U.S.,MSP,1965,civilian,1998,1
471,"Johnson, Gregory H.",male,U.S.,pilot,1962,military,1998,2
472,"Behnken, Robert L.",male,U.S.,MSP,1970,military,2000,2
473,"Foreman, Michael J.",male,U.S.,MSP,1957,military,1998,2
474,"Reisman, Garrett E.",male,U.S.,flight engineer,1968,civilian,1998,2
475,"Volkov, Sergei",male,U.S.S.R/Russia,commander,1973,military,1997,3
476,"Kononenko, Oleg D.",male,U.S.S.R/Russia,flight engineer,1964,military,1996,4
477,"Yi, Soyeon (Lee So-hyun)",female,Korea,Other (Space tourist),1978,civilian,2006,1
478,"Ham, Kenneth T.",male,U.S.,pilot,1964,military,1998,2
479,"Nyberg, Karen L.",female,U.S.,MSP,1969,civilian,2000,2
480,"Garan, Ronald J., Jr.",male,U.S.,MSP,1961,military,2000,2
481,"Hoshide, Akihiko",male,Japan,MSP,1968,civilian,1999,2
482,"Chamitoff, Gregory",male,U.S.,flight engineer,1962,civilian,1998,2
483,"Zhai, Zhigang",male,China,commander,1966,military,2008,1
484,"Liu, Boming",male,China,flight engineer,1966,military,2008,1
485,"Jing, Haipeng",male,China,flight engineer,1966,military,2008,3
486,"Garriott, Richard Allen",male,U.K./U.S.,Space tourist,1961,civilian,2007,1
487,"Boe, Eric A.",male,U.S.,pilot,1964,military,2000,2
488,"Bowen, Stephen G.",male,U.S.,MSP,1964,military,2000,3
489,"Kimbrough, Robert S.",male,U.S.,MSP,1967,military,2004,2
490,"Antonelli, Dominic A.",male,U.S.,pilot,1967,military,2000,2
491,"Acaba, Joseph M.",male,U.S.,MSP,1967,civilian,2004,3
492,"Arnold, Richard R., II",male,U.S.,MSP,1963,civilian,2004,2
493,"Barratt, Michael R.",male,U.S.,flight engineer,1959,civilian,2000,2
494,"Johnson, Gregory C.",male,U.S.,pilot,1954,civilian,1998,1
495,"Good, Michael T.",male,U.S.,MSP,1962,military,2000,2
496,"McArthur, K. Megan",female,U.S.,MSP,1971,civilian,2000,1
497,"Feustel, Andrew J.",male,U.S.,MSP,1965,civilian,2000,3
498,"Romanenko, Roman",male,U.S.S.R/Russia,flight engineer,1971,military,1997,2
499,"Hurley, Douglas G.",male,U.S.,pilot,1966,military,2000,2
500,"Cassidy, Christopher J.",male,U.S.,MSP,1970,military,2004,2
501,"Marshburn, Thomas H.",male,U.S.,MSP,1960,military,2004,2
502,"Kopra, Timothy L.",male,U.S.,MSP,1963,military,2000,2
503,"Ford, Kevin A.",male,U.S.,pilot,1960,military,2000,2
504,"Hernandez, Jose M.",male,U.S.,MSP,1962,civilian,2004,1
505,"Stott, Nicole P.",female,U.S.,flight engineer,1962,civilian,2000,2
506,"Surayev, Maksim",male,U.S.S.R/Russia,commander,1972,military,1997,2
507,Guy Laliberte,male,Canada,Other (Space tourist),1959,civilian,2009,1
508,"Wilmore, Barry E.",male,U.S.,pilot,1962,military,2000,2
509,"Bresnik, Randolph J.",male,U.S.,MSP,1967,military,2004,2
510,"Satcher, Robert L.",male,U.S.,MSP,1965,civilian,2004,1
511,"Creamer, Timothy J.",male,U.S.,flight engineer,1959,military,1998,1
512,"Virts, Terry W., Jr.",male,U.S.,pilot,1967,military,2000,2
513,"Skvortsov, Aleksandr Jr.",male,U.S.S.R/Russia,commander,1966,military,1997,3
514,"Korniyenko, Mikhail",male,U.S.S.R/Russia,flight engineer,1960,civilian,1998,2
515,"Dutton, James P.",male,U.S.,pilot,1968,military,2004,1
516,"Metcalf-Lindenburger, Dorothy M.",female,U.S.,MSP,1975,civilian,2004,1
517,"Yamazaki, Naoko",female,Japan,MSP,1970,civilian,1999,1
518,"Walker, Shannon",female,U.S.,flight engineer,1965,civilian,2004,1
519,"Skripochka, Oleg",male,U.S.S.R/Russia,flight engineer,1969,civilian,1997,3
520,"Kondratyev, Dmitri",male,U.S.S.R/Russia,commander,1969,military,1997,1
521,"Samokutyayev, Aleksandr",male,U.S.S.R/Russia,commander,1970,military,2003,2
522,"Borisenko, Andrei",male,U.S.S.R/Russia,flight engineer,1964,military,2003,2
523,"Furukawa, Satoshi",male,Japan,flight engineer,1964,civilian,1999,1
524,"Shkaplerov, Anton",male,U.S.S.R/Russia,commander,1972,military,2003,3
525,"Ivanishin, Anatoli",male,U.S.S.R/Russia,commander,1969,military,2003,2
526,"Revin, Sergei",male,U.S.S.R/Russia,flight engineer,1966,civilian,1996,1
527,"Liu, Wang",male,China,flight engineer,1969,military,2012,1
528,"Liu, Yang",female,China,flight engineer,1978,military,2012,1
529,"Novitski, Oleg",male,U.S.S.R/Russia,commander,1971,military,2006,2
530,"Tarelkin, Yevgeni",male,U.S.S.R/Russia,flight engineer,1974,military,2003,1
531,"Misurkin, Aleksandr",male,U.S.S.R/Russia,flight engineer,1977,military,2006,2
532,"Parmitano, Luca",male,Italy,flight engineer,1976,military,2009,2
533,"Zhang, Xiaoguang",male,China,flight engineer,1968,military,2013,1
534,"Wang, Yapi",male,China,flight engineer,1980,military,2013,1
535,"Ryazanski, Sergei",male,U.S.S.R/Russia,flight engineer,1974,civilian,2003,2
536,"Hopkins, Michael Scott",male,U.S.,flight engineer,1968,military,2009,1
537,"Artemyev, Oleg",male,U.S.S.R/Russia,flight engineer,1970,military,2003,2
538,"Wiseman, Gregory Reid",male,U.S.,MSP,1975,military,2009,1
539,"Gerst, Alexander",male,Germany,flight engineer,1976,civilian,2009,2
540,"Serova, Yelena",female,U.S.S.R/Russia,flight engineer,1976,civilian,2006,1
541,"Cristofretti, Samantha",female,Italy,flight engineer,1977,military,2009,1
542,"Yui, Kimiya",male,Japan,flight engineer,1970,military,2009,1
543,"Lindgren, Kjell Norwood",male,U.S.,flight engineer,1973,military,2009,1
544,"Mogensen, Andreas",male,Denmark,flight engineer,1976,civilian,2009,1
545,Aidyn (Aydyn) Akanovich Aimbetov,male,Kazakhstan,flight engineer,1972,military,2012,1
546,"Peake, Timothy Nigel",male,U.K.,pilot,1972,military,2009,1
547,"Ovchinin, Aleksey",male,U.S.S.R/Russia,commander,1971,military,2006,3
548,"Onishi, Takuya",male,Japan,flight engineer,1975,civilian,2009,1
549,"Rubins, Kathleen",female,U.S.,flight engineer,1978,civilian,2009,1
550,"Chen, Dong",male,China,flight engineer,1978,military,2010,1
551,"Ryzhikov, Sergey",male,U.S.S.R/Russia,commander,1974,military,2006,1
552,"Pesquet, Thomas",male,France,flight engineer,1978,civilian,2009,1
553,"Fischer, Jack",male,U.S.,flight engineer,1974,military,2009,1
554,"Vande Hei, Mark",male,U.S.,flight engineer,1966,military,2009,1
555,"Tingle, Scott",male,U.S.,flight engineer,1965,military,2009,1
556,"Kanai, Norishige",male,Japan,flight engineer,1976,civilian,2009,1
557,"Prokopyev, Sergei",male,U.S.S.R/Russia,commander,1975,military,2010,1
558,"Auï¿½ï¿½ï¿½ï¿½n-Chancellor",female,U.S.,flight engineer,1976,civilian,2009,1
559,"Hague, Tyler",male,U.S.,flight engineer,1975,military,2013,2
560,"Saint-Jaques, David",male,Canada,flight engineer,1970,civilian,2009,1
561,"McClain, Anne Charlotte",female,U.S.,flight engineer,1979,military,2013,1
562,"Koch, Christina",female,U.S.,flight engineer,1979,civilian,2013,1
563,"Morgan, Andrew",male,U.S.,flight engineer,1976,military,2013,1
564,"Meir, Jessica",female,U.S.,flight engineer,1977,civilian,2013,1
565,"Al Mansoori, Hazzaa",male,UAE,spaceflight participant,1983,military,2018,1
