Id,Label,sex,nationality,occupation,year_of_birth,military_civilian,year_of_selection,total_number_of_missions
70,"Lebedev, Valentin",male,U.S.S.R/Russia,flight engineer,1942,civilian,1972,2
71,"Artyukhin, Yuri",male,U.S.S.R/Russia,flight engineer,1930,military,1963,1
72,"Sarafanov, Gennadi",male,U.S.S.R/Russia,commander,1942,military,1965,1
73,"Dyomin, Lev",male,U.S.S.R/Russia,flight engineer,1926,military,1963,1
74,"Gubarev, Aleksei",male,U.S.S.R/Russia,commander,1931,military,1963,2
75,"Grechko, Georgi",male,U.S.S.R/Russia,flight engineer,1931,civilian,1968,3
76,"Brand, Vance D.",male,U.S.,pilot,1931,civilian,1966,4
77,"Slayton, Donald K.",male,U.S.,pilot,1924,civilian,1959,1
78,"Zholobov, Vitali",male,U.S.S.R/Russia,flight engineer,1937,military,1963,1
79,"Aksyonov, Vladimir",male,U.S.S.R/Russia,flight engineer,1935,military,1973,2
80,"Zudov, Vyacheslav",male,U.S.S.R/Russia,commander,1942,military,1965,1
81,"Rozhdestvensky, Valery",male,U.S.S.R/Russia,flight engineer,1939,military,1965,1
82,"Glazkov, Yuri",male,U.S.S.R/Russia,flight engineer,1939,military,1965,1
83,"Kovalyonok, Vladimir",male,U.S.S.R/Russia,commander,1942,military,1967,3
84,"Ryumin, Valery",male,U.S.S.R/Russia,flight engineer,1939,civilian,1973,4
85,"Romanenko, Yuri",male,U.S.S.R/Russia,commander,1944,military,1970,3
86,"Dzhanibekov, Vladimir",male,U.S.S.R/Russia,commander,1942,military,1970,5
87,Vladimir Remek,male,Czechoslovakia,pilot,1948,military,1976,1
88,"Ivanchenkov, Aleksandr",male,U.S.S.R/Russia,flight engineer,1940,military,1973,2
89,Miroslaw Hermaszewske,male,Poland,pilot,1941,military,1976,1
90,"Jahn, Sigmund",male,Germany,MSP,1937,military,1976,1
91,"Lyakhov, Vladimir",male,U.S.S.R/Russia,commander,1941,military,1967,3
92,Georgi Ivanov,male,Bulgaria,pilot,1940,military,1978,1
93,"Popov, Leonid",male,U.S.S.R/Russia,commander,1945,military,1970,3
94,Bertalan Farkas,male,Hungry,pilot,1949,civilian,1978,1
95,"Malyshev, Yuri",male,U.S.S.R/Russia,commander,1941,military,1967,2
96,Pham Tuan,male,Vietnam,MSP,1947,military,1979,1
97,Arnaldo Tamayo Mendez,male,Cuba,pilot,1942,military,1978,1
98,"Kizim, Leonid",male,U.S.S.R/Russia,commander,1941,military,1965,3
99,"Strekalov, Gennadi",male,U.S.S.R/Russia,MSP,1940,civilian,1973,5
111,"Savitskaya, Svetlana",female,U.S.S.R/Russia,MSP,1948,civilian,1980,2
112,"Overmyer, Robert F.",male,U.S.,pilot,1936,military,1966,2
113,"Allen, Joseph P.",male,U.S.,MSP,1937,civilian,1967,2
114,"Lenoir, William B.",male,U.S.,MSP,1939,civilian,1967,1
115,"Bobko, Karol J.",male,U.S.,pilot,1937,military,1969,3
116,"Peterson, Donald H.",male,U.S.,MSP,1933,military,1969,1
117,"Musgrave, Franklin Story",male,U.S.,MSP,1935,civilian,1967,6
118,"Titov, Vladimir",male,U.S.S.R/Russia,commander,1947,military,1976,4
119,"Hauck, Frederick H.",male,U.S.,pilot,1941,military,1978,3
120,"Fabian, John M.",male,U.S.,MSP,1939,military,1978,2
121,"Ride, Sally K.",female,U.S.,MSP,1951,civilian,1978,2
122,"Thagard, Norman E.",male,U.S.,MSP,1943,civilian,1978,5
123,"Aleksandrov, Aleksandr",male,U.S.S.R/Russia,flight engineer,1943,civilian,1978,2
124,"Brandenstein, Daniel C.",male,U.S.,pilot,1943,military,1978,4
125,"Bluford, Guion S., Jr.",male,U.S.,MSP,1942,military,1978,4
126,"Gardner, Dale A.",male,U.S.,MSP,1948,military,1978,2
127,"Thornton, William E.",male,U.S.,MSP,1929,civilian,1967,2
128,"Shaw, Brewster H., Jr.",male,U.S.,pilot,1945,military,1978,3
